"Mots","Occurrences"
"smart city","444"
"urban transportation","157"
"intelligent systems","142"
"transportation","111"
"intelligent vehicle highway systems","88"
"intelligent transportation systems","83"
"traffic congestion","81"
"internet of things","75"
"traffic control","74"
"vehicles","70"
"sustainable development","66"
"motor transportation","59"
"public transportation","55"
"big data","51"
"roads and streets","51"
"smart cities","51"
"urban mobility","50"
"public transport","45"
"transportation system","44"
"urban planning","43"
