"Occurrences","Words","Cluster","Cluster_Label"
"7","deep learning","1","intelligent systems"
"80","traffic congestion","1","intelligent systems"
"29","information management","1","intelligent systems"
"20","real time systems","1","intelligent systems"
"17","accidents","1","intelligent systems"
"7","environmental impact","1","intelligent systems"
"16","highway administration","1","intelligent systems"
"59","motor transportation","1","intelligent systems"
"51","roads and streets","1","intelligent systems"
"27","street traffic control","1","intelligent systems"
"14","traffic management","1","intelligent systems"
"74","traffic control","1","intelligent systems"
"7","wireless communications","1","intelligent systems"
"8","automotive industry","1","intelligent systems"
"6","data communication systems","1","intelligent systems"
"5","data transfer","1","intelligent systems"
"7","fog","1","intelligent systems"
"9","information dissemination","1","intelligent systems"
"142","intelligent systems","1","intelligent systems"
"88","intelligent vehicle highway systems","1","intelligent systems"
"19","quality of service","1","intelligent systems"
"28","vehicle to vehicle communications","1","intelligent systems"
"83","intelligent transportation systems","1","intelligent systems"
"31","vehicular ad hoc networks","1","intelligent systems"
"9","cyber physical system","1","intelligent systems"
"40","intelligent transport systems","1","intelligent systems"
"26","forecasting","1","intelligent systems"
"10","location","1","intelligent systems"
"8","wireless networks","1","intelligent systems"
"8","delay tolerant networks","1","intelligent systems"
"10","advanced traffic management systems","1","intelligent systems"
"31","travel time","1","intelligent systems"
"70","vehicles","1","intelligent systems"
"7","vehicular communications","1","intelligent systems"
"10","emergency services","1","intelligent systems"
"8","communication technologies","1","intelligent systems"
"21","embedded systems","1","intelligent systems"
"7","cyber physical systems (cpss)","1","intelligent systems"
"9","clustering algorithms","1","intelligent systems"
"9","mobile computing","1","intelligent systems"
"6","telecommunication services","1","intelligent systems"
"6","mobility predictions","1","intelligent systems"
"8","location based services","1","intelligent systems"
"25","energy utilization","1","intelligent systems"
"6","automobile drivers","1","intelligent systems"
"9","road infrastructures","1","intelligent systems"
"17","mobile telecommunication systems","1","intelligent systems"
"8","5g mobile communication systems","1","intelligent systems"
"10","machine learning","1","intelligent systems"
"8","traffic surveys","1","intelligent systems"
